pheno_id	in_vcf_spelling
PI081027	PI81027
PI081029	PI81029
PI081029-1	PI81029-1
PI081029N	PI81029N
PI081030	PI81030
PI081030-1	PI81030-1
PI081031-1	PI81031-1
PI081031-2	PI81031-2
PI081033	PI81033
PI081034-1	PI81034-1
PI081034-2	PI81034-2
PI081035	PI81035
PI081037	PI81037
PI081037-1	PI81037-1
PI081037-2	PI81037-2
PI081037-3	PI81037-3
PI081037-4	PI81037-4
PI081037-5	PI81037-5
PI081038	PI81038
PI081040	PI81040
PI081041	PI81041
PI081041-1	PI81041-1
PI081042	PI81042
PI081042-1	PI81042-1
PI081042-2	PI81042-2
PI081044-1	PI81044-1
PI081044-2	PI81044-2
PI081667	PI81667
PI081761	PI81761
PI081763	PI81763
PI081764	PI81764
PI081765	PI81765
PI081766	PI81766
PI081767	PI81767
PI081768	PI81768
PI081770	PI81770
PI081771	PI81771
PI081772	PI81772
PI081773	PI81773
PI081774	PI81774
PI081775	PI81775
PI081777	PI81777
PI081780	PI81780
PI081780S	PI81780S
PI081785	PI81785
PI081971	PI81971
PI082183	PI82183
PI082184	PI82184
PI082184S	PI82184S
PI082210	PI82210
PI082218	PI82218
PI082232	PI82232
PI082235	PI82235
PI082246	PI82246
PI082246-1	PI82246-1
PI082259	PI82259
PI082263-1	PI82263-1
PI082263-2	PI82263-2
PI082263-3	PI82263-3
PI082264	PI82264
PI082278	PI82278
PI082286	PI82286
PI082291	PI82291
PI082295	PI82295
PI082296	PI82296
PI082302	PI82302
PI082307	PI82307
PI082308	PI82308
PI082312	PI82312
PI082312N	PI82312N
PI082315	PI82315
PI082325	PI82325
PI082326	PI82326
PI082509	PI82509
PI082527	PI82527
PI082532	PI82532
PI082534	PI82534
PI082544	PI82544
PI082554	PI82554
PI082555	PI82555
PI082558	PI82558
PI082581	PI82581
PI082588	PI82588
PI083836	PI83836
PI083853	PI83853
PI083858	PI83858
PI083868	PI83868
PI083874	PI83874
PI083881	PI83881
PI083881A	PI83881A
PI083889	PI83889
PI083891	PI83891
PI083892	PI83892
PI083893	PI83893
PI083915	PI83915
PI083923	PI83923
PI083925	PI83925
PI083940	PI83940
PI083942	PI83942
PI083944	PI83944
PI083945-1	PI83945-1
PI083945-3	PI83945-3
PI083945-4	PI83945-4
PI083946	PI83946
PI084509	PI84509
PI084578	PI84578
PI084579	PI84579
PI084580	PI84580
PI084581	PI84581
PI084594	PI84594
PI084609	PI84609
PI084610	PI84610
PI084611	PI84611
PI084619	PI84619
PI084628	PI84628
PI084631	PI84631
PI084632	PI84632
PI084632S	PI84632S
PI084633	PI84633
PI084637	PI84637
PI084639	PI84639
PI084642	PI84642
PI084644	PI84644
PI084646	PI84646
PI084646-2	PI84646-2
PI084656	PI84656
PI084657	PI84657
PI084660	PI84660
PI084662	PI84662
PI084664	PI84664
PI084665	PI84665
PI084666	PI84666
PI084666-1	PI84666-1
PI084668	PI84668
PI084668-1	PI84668-1
PI084669	PI84669
PI084669N	PI84669N
PI084671	PI84671
PI084673	PI84673
PI084673-1	PI84673-1
PI084674	PI84674
PI084679	PI84679
PI084680	PI84680
PI084681	PI84681
PI084682	PI84682
PI084683	PI84683
PI084683A	PI84683A
PI084686	PI84686
PI084713	PI84713
PI084724	PI84724
PI084734	PI84734
PI084742	PI84742
PI084750	PI84750
PI084751	PI84751
PI084757	PI84757
PI084807	PI84807
PI084810	PI84810
PI084874	PI84874
PI084896	PI84896
PI084908-1	PI84908-1
PI084908-2	PI84908-2
PI084910	PI84910
PI084912	PI84912
PI084914	PI84914
PI084921	PI84921
PI084928	PI84928
PI084939	PI84939
PI084944	PI84944
PI084946-1	PI84946-1
PI084946-2	PI84946-2
PI084949	PI84949
PI084954	PI84954
PI084957	PI84957
PI084957-1	PI84957-1
PI084959	PI84959
PI084960	PI84960
PI084964	PI84964
PI084965	PI84965
PI084967	PI84967
PI084970	PI84970
PI084973	PI84973
PI084976	PI84976
PI084976-1	PI84976-1
PI084979	PI84979
PI084985	PI84985
PI084987	PI84987
PI084987A	PI84987A
PI084992	PI84992
PI085009-1	PI85009-1
PI085009-2	PI85009-2
PI085010	PI85010
PI085012	PI85012
PI085014	PI85014
PI085019	PI85019
PI085021	PI85021
PI085089	PI85089
PI085252	PI85252
PI085272	PI85272
PI085340	PI85340
PI085342	PI85342
PI085355	PI85355
PI085356	PI85356
PI085407	PI85407
PI085416	PI85416
PI085420	PI85420
PI085420-1	PI85420-1
PI085424	PI85424
PI085437	PI85437
PI085441	PI85441
PI085456	PI85456
PI085465	PI85465
PI085469	PI85469
PI085476	PI85476
PI085490	PI85490
PI085492	PI85492
PI085505	PI85505
PI085506	PI85506
PI085508	PI85508
PI085519	PI85519
PI085550	PI85550
PI085559	PI85559
PI085590	PI85590
PI085619	PI85619
PI085624	PI85624
PI085625	PI85625
PI085626	PI85626
PI085630	PI85630
PI085658	PI85658
PI085663	PI85663
PI085665	PI85665
PI085666	PI85666
PI085666S	PI85666S
PI085668	PI85668
PI085671	PI85671
PI085878	PI85878
PI085897	PI85897
PI085903	PI85903
PI086002	PI86002
PI086004	PI86004
PI086006	PI86006
PI086007	PI86007
PI086021	PI86021
PI086022	PI86022
PI086023	PI86023
PI086024	PI86024
PI086026	PI86026
PI086026-1	PI86026-1
PI086027	PI86027
PI086028	PI86028
PI086029	PI86029
PI086031	PI86031
PI086032	PI86032
PI086038	PI86038
PI086045	PI86045
PI086045S	PI86045S
PI086046	PI86046
PI086050	PI86050
PI086053	PI86053
PI086060	PI86060
PI086062	PI86062
PI086063	PI86063
PI086069	PI86069
PI086071	PI86071
PI086073	PI86073
PI086075	PI86075
PI086078	PI86078
PI086078-1	PI86078-1
PI086081	PI86081
PI086084	PI86084
PI086089	PI86089
PI086091	PI86091
PI086091-1	PI86091-1
PI086098	PI86098
PI086102	PI86102
PI086103	PI86103
PI086109	PI86109
PI086109B	PI86109B
PI086111	PI86111
PI086112	PI86112
PI086112-1	PI86112-1
PI086113	PI86113
PI086113S	PI86113S
PI086114	PI86114
PI086115	PI86115
PI086116	PI86116
PI086122	PI86122
PI086123	PI86123
PI086128	PI86128
PI086133	PI86133
PI086134-1	PI86134-1
PI086134-2	PI86134-2
PI086134-3	PI86134-3
PI086134-4	PI86134-4
PI086136	PI86136
PI086137	PI86137
PI086137-1	PI86137-1
PI086138	PI86138
PI086138R	PI86138R
PI086142	PI86142
PI086144	PI86144
PI086145	PI86145
PI086146	PI86146
PI086150	PI86150
PI086153	PI86153
PI086154	PI86154
PI086301	PI86301
PI086410	PI86410
PI086411	PI86411
PI086416	PI86416
PI086425	PI86425
PI086443	PI86443
PI086445	PI86445
PI086449	PI86449
PI086449-0	PI86449-0
PI086449-2	PI86449-2
PI086452	PI86452
PI086454	PI86454
PI086456	PI86456
PI086457	PI86457
PI086457-1	PI86457-1
PI086463	PI86463
PI086465	PI86465
PI086469	PI86469
PI086482	PI86482
PI086482-1	PI86482-1
PI086490	PI86490
PI086490-2	PI86490-2
PI086490-3	PI86490-3
PI086490-4	PI86490-4
PI086491	PI86491
PI086502	PI86502
PI086504	PI86504
PI086510	PI86510
PI086543	PI86543
PI086736	PI86736
PI086737	PI86737
PI086740	PI86740
PI086741	PI86741
PI086876	PI86876
PI086878	PI86878
PI086878-2	PI86878-2
PI086892	PI86892
PI086903-3	PI86903-3
PI086903-4	PI86903-4
PI086904	PI86904
PI086904-1	PI86904-1
PI086908	PI86908
PI086972-1	PI86972-1
PI086972-2	PI86972-2
PI086978	PI86978
PI086982	PI86982
PI087002	PI87002
PI087005	PI87005
PI087011	PI87011
PI087013	PI87013
PI087026	PI87026
PI087029	PI87029
PI087037	PI87037
PI087047	PI87047
PI087059	PI87059
PI087065	PI87065
PI087074	PI87074
PI087076	PI87076
PI087165	PI87165
PI087167	PI87167
PI087457	PI87457
PI087465-1	PI87465-1
PI087465-2	PI87465-2
PI087524	PI87524
PI087525	PI87525
PI087530	PI87530
PI087531	PI87531
PI087540	PI87540
PI087542	PI87542
PI087561	PI87561
PI087565	PI87565
PI087571	PI87571
PI087574	PI87574
PI087575	PI87575
PI087588	PI87588
PI087600-1	PI87600-1
PI087600-2	PI87600-2
PI087606	PI87606
PI087614	PI87614
PI087615	PI87615
PI087617	PI87617
PI087618	PI87618
PI087619	PI87619
PI087619-1	PI87619-1
PI087620	PI87620
PI087620-1	PI87620-1
PI087622	PI87622
PI087623	PI87623
PI087628	PI87628
PI087629	PI87629
PI087630	PI87630
PI087631	PI87631
PI087631-1	PI87631-1
PI087631-3	PI87631-3
PI087632	PI87632
PI087634	PI87634
PI087968	PI87968
PI088282	PI88282
PI088287	PI88287
PI088288	PI88288
PI088289	PI88289
PI088290	PI88290
PI088291	PI88291
PI088292	PI88292
PI088293	PI88293
PI088293A	PI88293A
PI088294	PI88294
PI088294-1	PI88294-1
PI088295	PI88295
PI088295-1	PI88295-1
PI088296	PI88296
PI088297	PI88297
PI088298	PI88298
PI088300	PI88300
PI088301	PI88301
PI088302-1	PI88302-1
PI088302-2	PI88302-2
PI088303	PI88303
PI088303-1	PI88303-1
PI088304	PI88304
PI088305	PI88305
PI088306	PI88306
PI088306-1	PI88306-1
PI088307	PI88307
PI088308	PI88308
PI088309	PI88309
PI088310	PI88310
PI088311	PI88311
