vcf_id	pheno_id	rule
PI68661	PI068661	zero_pad
PI68663	PI068663	zero_pad
PI68666	PI068666	zero_pad
PI68670-1	PI068670-1	zero_pad
PI68670-2	PI068670-2	zero_pad
PI68671	PI068671	zero_pad
PI68676	PI068676	zero_pad
PI68679	PI068679	zero_pad
PI68679-2	PI068679-2	zero_pad
PI68680	PI068680	zero_pad
PI68680-2	PI068680-2	zero_pad
PI68683	PI068683	zero_pad
PI68685	PI068685	zero_pad
PI68687	PI068687	zero_pad
PI68692	PI068692	zero_pad
PI68692-2	PI068692-2	zero_pad
PI68694	PI068694	zero_pad
PI68696	PI068696	zero_pad
PI68701	PI068701	zero_pad
PI68704	PI068704	zero_pad
PI68706	PI068706	zero_pad
PI68708	PI068708	zero_pad
PI68709	PI068709	zero_pad
PI68710	PI068710	zero_pad
PI68712	PI068712	zero_pad
PI68713	PI068713	zero_pad
PI68715	PI068715	zero_pad
PI68718	PI068718	zero_pad
PI68722	PI068722	zero_pad
PI68725	PI068725	zero_pad
PI68728	PI068728	zero_pad
PI68729	PI068729	zero_pad
PI68731	PI068731	zero_pad
PI68732	PI068732	zero_pad
PI68732-1	PI068732-1	zero_pad
PI68736	PI068736	zero_pad
PI68741	PI068741	zero_pad
PI68746	PI068746	zero_pad
PI68748	PI068748	zero_pad
PI68748-1	PI068748-1	zero_pad
PI68756	PI068756	zero_pad
PI68759	PI068759	zero_pad
PI68761	PI068761	zero_pad
PI68761-3	PI068761-3	zero_pad
PI68762	PI068762	zero_pad
PI68763	PI068763	zero_pad
PI68765	PI068765	zero_pad
PI68768	PI068768	zero_pad
PI68770	PI068770	zero_pad
PI68778	PI068778	zero_pad
PI68788	PI068788	zero_pad
PI68795	PI068795	zero_pad
PI68806	PI068806	zero_pad
PI68815	PI068815	zero_pad
PI69500	PI069500	zero_pad
PI69501	PI069501	zero_pad
PI69503	PI069503	zero_pad
PI69507	PI069507	zero_pad
PI69507-1	PI069507-1	zero_pad
PI69512	PI069512	zero_pad
PI69515	PI069515	zero_pad
PI69532	PI069532	zero_pad
PI69533	PI069533	zero_pad
PI69991	PI069991	zero_pad
PI69992	PI069992	zero_pad
PI69993	PI069993	zero_pad
PI69995	PI069995	zero_pad
PI69996	PI069996	zero_pad
PI70001	PI070001	zero_pad
PI70009	PI070009	zero_pad
PI70013	PI070013	zero_pad
PI70014	PI070014	zero_pad
PI70016	PI070016	zero_pad
PI70017	PI070017	zero_pad
PI70019	PI070019	zero_pad
PI70021	PI070021	zero_pad
PI70023	PI070023	zero_pad
PI70027	PI070027	zero_pad
PI70036	PI070036	zero_pad
PI70076	PI070076	zero_pad
PI70077	PI070077	zero_pad
PI70078	PI070078	zero_pad
PI70080	PI070080	zero_pad
PI70084	PI070084	zero_pad
PI70087	PI070087	zero_pad
PI70089	PI070089	zero_pad
PI70091	PI070091	zero_pad
PI70188	PI070188	zero_pad
PI70189	PI070189	zero_pad
PI70192	PI070192	zero_pad
PI70197	PI070197	zero_pad
PI70199	PI070199	zero_pad
PI70201	PI070201	zero_pad
PI70202	PI070202	zero_pad
PI70208	PI070208	zero_pad
PI70212	PI070212	zero_pad
PI70213	PI070213	zero_pad
PI70224	PI070224	zero_pad
PI70228	PI070228	zero_pad
PI70229	PI070229	zero_pad
PI70241	PI070241	zero_pad
PI70242	PI070242	zero_pad
PI70242-2	PI070242-2	zero_pad
PI70242-4	PI070242-4	zero_pad
PI70243	PI070243	zero_pad
PI70247	PI070247	zero_pad
PI70251	PI070251	zero_pad
PI70253	PI070253	zero_pad
PI70453	PI070453	zero_pad
PI70456	PI070456	zero_pad
PI70457	PI070457	zero_pad
PI70458	PI070458	zero_pad
PI70459	PI070459	zero_pad
PI70460	PI070460	zero_pad
PI70461	PI070461	zero_pad
PI70462	PI070462	zero_pad
PI70463	PI070463	zero_pad
PI70466-3	PI070466-3	zero_pad
PI70466-4	PI070466-4	zero_pad
PI70467	PI070467	zero_pad
PI70469	PI070469	zero_pad
PI70469-1	PI070469-1	zero_pad
PI70470	PI070470	zero_pad
PI70471	PI070471	zero_pad
PI70473	PI070473	zero_pad
PI70473-1	PI070473-1	zero_pad
PI70476	PI070476	zero_pad
PI70478	PI070478	zero_pad
PI70485	PI070485	zero_pad
PI70490	PI070490	zero_pad
PI70495	PI070495	zero_pad
PI70500	PI070500	zero_pad
PI70501	PI070501	zero_pad
PI70503	PI070503	zero_pad
PI70507	PI070507	zero_pad
PI70515	PI070515	zero_pad
PI70516	PI070516	zero_pad
PI70519	PI070519	zero_pad
PI70520	PI070520	zero_pad
PI70528	PI070528	zero_pad
PI70541	PI070541	zero_pad
PI70559	PI070559	zero_pad
PI70561	PI070561	zero_pad
PI70566	PI070566	zero_pad
PI71161	PI071161	zero_pad
PI71444	PI071444	zero_pad
PI71461	PI071461	zero_pad
PI71463	PI071463	zero_pad
PI71465	PI071465	zero_pad
PI71506	PI071506	zero_pad
PI71558	PI071558	zero_pad
PI71564	PI071564	zero_pad
PI71570	PI071570	zero_pad
PI71667	PI071667	zero_pad
PI71677	PI071677	zero_pad
PI71845	PI071845	zero_pad
PI71850	PI071850	zero_pad
PI71850-1	PI071850-1	zero_pad
PI72227	PI072227	zero_pad
PI72232	PI072232	zero_pad
PI72328	PI072328	zero_pad
PI72337	PI072337	zero_pad
PI72341	PI072341	zero_pad
PI72342	PI072342	zero_pad
PI73583	PI073583	zero_pad
PI73585	PI073585	zero_pad
PI73587	PI073587	zero_pad
PI73772	PI073772	zero_pad
PI73780	PI073780	zero_pad
PI78242	PI078242	zero_pad
PI78243	PI078243	zero_pad
PI79583	PI079583	zero_pad
PI79586	PI079586	zero_pad
PI79587	PI079587	zero_pad
PI79593	PI079593	zero_pad
PI79596	PI079596	zero_pad
PI79602	PI079602	zero_pad
PI79609	PI079609	zero_pad
PI79610	PI079610	zero_pad
PI79613	PI079613	zero_pad
PI79616	PI079616	zero_pad
PI79617	PI079617	zero_pad
PI79620	PI079620	zero_pad
PI79627	PI079627	zero_pad
PI79628	PI079628	zero_pad
PI79645	PI079645	zero_pad
PI79648	PI079648	zero_pad
PI79691	PI079691	zero_pad
PI79691-4	PI079691-4	zero_pad
PI79692	PI079692	zero_pad
PI79693	PI079693	zero_pad
PI79694	PI079694	zero_pad
PI79695	PI079695	zero_pad
PI79696	PI079696	zero_pad
PI79699	PI079699	zero_pad
PI79703	PI079703	zero_pad
PI79710	PI079710	zero_pad
PI79712	PI079712	zero_pad
PI79726	PI079726	zero_pad
PI79727	PI079727	zero_pad
PI79732-3	PI079732-3	zero_pad
PI79732-4	PI079732-4	zero_pad
PI79737	PI079737	zero_pad
PI79739	PI079739	zero_pad
PI79743	PI079743	zero_pad
PI79745	PI079745	zero_pad
PI79746	PI079746	zero_pad
PI79747	PI079747	zero_pad
PI79756	PI079756	zero_pad
PI79760	PI079760	zero_pad
PI79761	PI079761	zero_pad
PI79773	PI079773	zero_pad
PI79797	PI079797	zero_pad
PI79825	PI079825	zero_pad
PI79825-1	PI079825-1	zero_pad
PI79832	PI079832	zero_pad
PI79835	PI079835	zero_pad
PI79846	PI079846	zero_pad
PI79848	PI079848	zero_pad
PI79848-1	PI079848-1	zero_pad
PI79861	PI079861	zero_pad
PI79862	PI079862	zero_pad
PI79862-1	PI079862-1	zero_pad
PI79863	PI079863	zero_pad
PI79870-1	PI079870-1	zero_pad
PI79870-2	PI079870-2	zero_pad
PI79870-4	PI079870-4	zero_pad
PI79870-6	PI079870-6	zero_pad
PI79872	PI079872	zero_pad
PI79874	PI079874	zero_pad
PI79874-1	PI079874-1	zero_pad
PI79885	PI079885	zero_pad
PI80459	PI080459	zero_pad
PI80461	PI080461	zero_pad
PI80466	PI080466	zero_pad
PI80466-1	PI080466-1	zero_pad
PI80466-2	PI080466-2	zero_pad
PI80468	PI080468	zero_pad
PI80469	PI080469	zero_pad
PI80470	PI080470	zero_pad
PI80471	PI080471	zero_pad
PI80471-1	PI080471-1	zero_pad
PI80473	PI080473	zero_pad
PI80476	PI080476	zero_pad
PI80479	PI080479	zero_pad
PI80480	PI080480	zero_pad
PI80481	PI080481	zero_pad
PI80485	PI080485	zero_pad
PI80488	PI080488	zero_pad
PI80488-1	PI080488-1	zero_pad
PI80494	PI080494	zero_pad
PI80498	PI080498	zero_pad
PI80498-1	PI080498-1	zero_pad
PI80536	PI080536	zero_pad
PI80671	PI080671	zero_pad
PI80822	PI080822	zero_pad
PI80825	PI080825	zero_pad
PI80828-1	PI080828-1	zero_pad
PI80828-2	PI080828-2	zero_pad
PI80831	PI080831	zero_pad
PI80834-1	PI080834-1	zero_pad
PI80834-2	PI080834-2	zero_pad
PI80837	PI080837	zero_pad
PI80841	PI080841	zero_pad
PI80844-2	PI080844-2	zero_pad
PI80844-3	PI080844-3	zero_pad
PI80845-1	PI080845-1	zero_pad
PI80845-2	PI080845-2	zero_pad
PI80847-1	PI080847-1	zero_pad
PI80847-2	PI080847-2	zero_pad
PI81023	PI081023	zero_pad
PI81027	PI081027	zero_pad
PI81029	PI081029	zero_pad
PI81029-1	PI081029-1	zero_pad
PI81029N	PI081029N	zero_pad
PI81030	PI081030	zero_pad
PI81030-1	PI081030-1	zero_pad
PI81031-1	PI081031-1	zero_pad
PI81031-2	PI081031-2	zero_pad
PI81033	PI081033	zero_pad
PI81034-1	PI081034-1	zero_pad
PI81034-2	PI081034-2	zero_pad
PI81035	PI081035	zero_pad
PI81037	PI081037	zero_pad
PI81037-1	PI081037-1	zero_pad
PI81037-2	PI081037-2	zero_pad
PI81037-3	PI081037-3	zero_pad
PI81037-4	PI081037-4	zero_pad
PI81037-5	PI081037-5	zero_pad
PI81038	PI081038	zero_pad
PI81040	PI081040	zero_pad
PI81041	PI081041	zero_pad
PI81041-1	PI081041-1	zero_pad
PI81042	PI081042	zero_pad
PI81042-1	PI081042-1	zero_pad
PI81042-2	PI081042-2	zero_pad
PI81044-1	PI081044-1	zero_pad
PI81044-2	PI081044-2	zero_pad
PI81667	PI081667	zero_pad
PI81761	PI081761	zero_pad
PI81763	PI081763	zero_pad
PI81764	PI081764	zero_pad
PI81765	PI081765	zero_pad
PI81766	PI081766	zero_pad
PI81767	PI081767	zero_pad
PI81768	PI081768	zero_pad
PI81770	PI081770	zero_pad
PI81771	PI081771	zero_pad
PI81772	PI081772	zero_pad
PI81773	PI081773	zero_pad
PI81774	PI081774	zero_pad
PI81775	PI081775	zero_pad
PI81777	PI081777	zero_pad
PI81780	PI081780	zero_pad
PI81780S	PI081780S	zero_pad
PI81785	PI081785	zero_pad
PI81971	PI081971	zero_pad
PI82183	PI082183	zero_pad
PI82184	PI082184	zero_pad
PI82184S	PI082184S	zero_pad
PI82210	PI082210	zero_pad
PI82218	PI082218	zero_pad
PI82232	PI082232	zero_pad
PI82235	PI082235	zero_pad
PI82246	PI082246	zero_pad
PI82246-1	PI082246-1	zero_pad
PI82259	PI082259	zero_pad
PI82263-1	PI082263-1	zero_pad
PI82263-2	PI082263-2	zero_pad
PI82263-3	PI082263-3	zero_pad
PI82264	PI082264	zero_pad
PI82278	PI082278	zero_pad
PI82286	PI082286	zero_pad
PI82291	PI082291	zero_pad
PI82295	PI082295	zero_pad
PI82296	PI082296	zero_pad
PI82302	PI082302	zero_pad
PI82307	PI082307	zero_pad
PI82308	PI082308	zero_pad
PI82312	PI082312	zero_pad
PI82312N	PI082312N	zero_pad
PI82315	PI082315	zero_pad
PI82325	PI082325	zero_pad
PI82326	PI082326	zero_pad
PI82509	PI082509	zero_pad
PI82527	PI082527	zero_pad
PI82532	PI082532	zero_pad
PI82534	PI082534	zero_pad
PI82544	PI082544	zero_pad
PI82554	PI082554	zero_pad
PI82555	PI082555	zero_pad
PI82558	PI082558	zero_pad
PI82581	PI082581	zero_pad
PI82588	PI082588	zero_pad
PI83836	PI083836	zero_pad
PI83853	PI083853	zero_pad
PI83858	PI083858	zero_pad
PI83868	PI083868	zero_pad
PI83874	PI083874	zero_pad
PI83881	PI083881	zero_pad
PI83881A	PI083881A	zero_pad
PI83889	PI083889	zero_pad
PI83891	PI083891	zero_pad
PI83892	PI083892	zero_pad
PI83893	PI083893	zero_pad
PI83915	PI083915	zero_pad
PI83923	PI083923	zero_pad
PI83925	PI083925	zero_pad
PI83940	PI083940	zero_pad
PI83942	PI083942	zero_pad
PI83944	PI083944	zero_pad
PI83945-1	PI083945-1	zero_pad
PI83945-3	PI083945-3	zero_pad
PI83945-4	PI083945-4	zero_pad
PI83946	PI083946	zero_pad
PI84509	PI084509	zero_pad
PI84578	PI084578	zero_pad
PI84579	PI084579	zero_pad
PI84580	PI084580	zero_pad
PI84581	PI084581	zero_pad
PI84594	PI084594	zero_pad
PI84609	PI084609	zero_pad
PI84610	PI084610	zero_pad
PI84611	PI084611	zero_pad
PI84619	PI084619	zero_pad
PI84628	PI084628	zero_pad
PI84631	PI084631	zero_pad
PI84632	PI084632	zero_pad
PI84632S	PI084632S	zero_pad
PI84633	PI084633	zero_pad
PI84637	PI084637	zero_pad
PI84639	PI084639	zero_pad
PI84642	PI084642	zero_pad
PI84644	PI084644	zero_pad
PI84646	PI084646	zero_pad
PI84646-2	PI084646-2	zero_pad
PI84656	PI084656	zero_pad
PI84657	PI084657	zero_pad
PI84660	PI084660	zero_pad
PI84662	PI084662	zero_pad
PI84664	PI084664	zero_pad
PI84665	PI084665	zero_pad
PI84666	PI084666	zero_pad
PI84666-1	PI084666-1	zero_pad
PI84668	PI084668	zero_pad
PI84668-1	PI084668-1	zero_pad
PI84669	PI084669	zero_pad
PI84669N	PI084669N	zero_pad
PI84671	PI084671	zero_pad
PI84673	PI084673	zero_pad
PI84673-1	PI084673-1	zero_pad
PI84674	PI084674	zero_pad
PI84679	PI084679	zero_pad
PI84680	PI084680	zero_pad
PI84681	PI084681	zero_pad
PI84682	PI084682	zero_pad
PI84683	PI084683	zero_pad
PI84683A	PI084683A	zero_pad
PI84686	PI084686	zero_pad
PI84713	PI084713	zero_pad
PI84724	PI084724	zero_pad
PI84734	PI084734	zero_pad
PI84742	PI084742	zero_pad
PI84750	PI084750	zero_pad
PI84751	PI084751	zero_pad
PI84757	PI084757	zero_pad
PI84807	PI084807	zero_pad
PI84810	PI084810	zero_pad
PI84874	PI084874	zero_pad
PI84896	PI084896	zero_pad
PI84908-1	PI084908-1	zero_pad
PI84908-2	PI084908-2	zero_pad
PI84910	PI084910	zero_pad
PI84912	PI084912	zero_pad
PI84914	PI084914	zero_pad
PI84921	PI084921	zero_pad
PI84928	PI084928	zero_pad
PI84939	PI084939	zero_pad
PI84944	PI084944	zero_pad
PI84946-1	PI084946-1	zero_pad
PI84946-2	PI084946-2	zero_pad
PI84949	PI084949	zero_pad
PI84954	PI084954	zero_pad
PI84957	PI084957	zero_pad
PI84957-1	PI084957-1	zero_pad
PI84959	PI084959	zero_pad
PI84960	PI084960	zero_pad
PI84964	PI084964	zero_pad
PI84965	PI084965	zero_pad
PI84967	PI084967	zero_pad
PI84970	PI084970	zero_pad
PI84973	PI084973	zero_pad
PI84976	PI084976	zero_pad
PI84976-1	PI084976-1	zero_pad
PI84979	PI084979	zero_pad
PI84985	PI084985	zero_pad
PI84987	PI084987	zero_pad
PI84987A	PI084987A	zero_pad
PI84992	PI084992	zero_pad
PI85009-1	PI085009-1	zero_pad
PI85009-2	PI085009-2	zero_pad
PI85010	PI085010	zero_pad
PI85012	PI085012	zero_pad
PI85014	PI085014	zero_pad
PI85019	PI085019	zero_pad
PI85021	PI085021	zero_pad
PI85089	PI085089	zero_pad
PI85252	PI085252	zero_pad
PI85272	PI085272	zero_pad
PI85340	PI085340	zero_pad
PI85342	PI085342	zero_pad
PI85355	PI085355	zero_pad
PI85356	PI085356	zero_pad
PI85407	PI085407	zero_pad
PI85416	PI085416	zero_pad
PI85420	PI085420	zero_pad
PI85420-1	PI085420-1	zero_pad
PI85424	PI085424	zero_pad
PI85437	PI085437	zero_pad
PI85441	PI085441	zero_pad
PI85456	PI085456	zero_pad
PI85465	PI085465	zero_pad
PI85469	PI085469	zero_pad
PI85476	PI085476	zero_pad
PI85490	PI085490	zero_pad
PI85492	PI085492	zero_pad
PI85505	PI085505	zero_pad
PI85506	PI085506	zero_pad
PI85508	PI085508	zero_pad
PI85519	PI085519	zero_pad
PI85550	PI085550	zero_pad
PI85559	PI085559	zero_pad
PI85590	PI085590	zero_pad
PI85619	PI085619	zero_pad
PI85624	PI085624	zero_pad
PI85625	PI085625	zero_pad
PI85626	PI085626	zero_pad
PI85630	PI085630	zero_pad
PI85658	PI085658	zero_pad
PI85663	PI085663	zero_pad
PI85665	PI085665	zero_pad
PI85666	PI085666	zero_pad
PI85666S	PI085666S	zero_pad
PI85668	PI085668	zero_pad
PI85671	PI085671	zero_pad
PI85878	PI085878	zero_pad
PI85897	PI085897	zero_pad
PI85903	PI085903	zero_pad
PI86002	PI086002	zero_pad
PI86004	PI086004	zero_pad
PI86006	PI086006	zero_pad
PI86007	PI086007	zero_pad
PI86021	PI086021	zero_pad
PI86022	PI086022	zero_pad
PI86023	PI086023	zero_pad
PI86024	PI086024	zero_pad
PI86026	PI086026	zero_pad
PI86026-1	PI086026-1	zero_pad
PI86027	PI086027	zero_pad
PI86028	PI086028	zero_pad
PI86029	PI086029	zero_pad
PI86031	PI086031	zero_pad
PI86032	PI086032	zero_pad
PI86038	PI086038	zero_pad
PI86045	PI086045	zero_pad
PI86045S	PI086045S	zero_pad
PI86046	PI086046	zero_pad
PI86050	PI086050	zero_pad
PI86053	PI086053	zero_pad
PI86060	PI086060	zero_pad
PI86062	PI086062	zero_pad
PI86063	PI086063	zero_pad
PI86069	PI086069	zero_pad
PI86071	PI086071	zero_pad
PI86073	PI086073	zero_pad
PI86075	PI086075	zero_pad
PI86078	PI086078	zero_pad
PI86078-1	PI086078-1	zero_pad
PI86081	PI086081	zero_pad
PI86084	PI086084	zero_pad
PI86089	PI086089	zero_pad
PI86091	PI086091	zero_pad
PI86091-1	PI086091-1	zero_pad
PI86098	PI086098	zero_pad
PI86102	PI086102	zero_pad
PI86103	PI086103	zero_pad
PI86109	PI086109	zero_pad
PI86109B	PI086109B	zero_pad
PI86111	PI086111	zero_pad
PI86112	PI086112	zero_pad
PI86112-1	PI086112-1	zero_pad
PI86113	PI086113	zero_pad
PI86113S	PI086113S	zero_pad
PI86114	PI086114	zero_pad
PI86115	PI086115	zero_pad
PI86116	PI086116	zero_pad
PI86122	PI086122	zero_pad
PI86123	PI086123	zero_pad
PI86128	PI086128	zero_pad
PI86133	PI086133	zero_pad
PI86134-1	PI086134-1	zero_pad
PI86134-2	PI086134-2	zero_pad
PI86134-3	PI086134-3	zero_pad
PI86134-4	PI086134-4	zero_pad
PI86136	PI086136	zero_pad
PI86137	PI086137	zero_pad
PI86137-1	PI086137-1	zero_pad
PI86138	PI086138	zero_pad
PI86138R	PI086138R	zero_pad
PI86142	PI086142	zero_pad
PI86144	PI086144	zero_pad
PI86145	PI086145	zero_pad
PI86146	PI086146	zero_pad
PI86150	PI086150	zero_pad
PI86153	PI086153	zero_pad
PI86154	PI086154	zero_pad
